"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 07 11:59:22 GMT 2025","Mon Jul 07 11:59:22 GMT 2025","0","tests.allure_doc","test_writing_tests","","","","Test Divide a test into steps",""
"passed","Mon Jul 07 11:59:22 GMT 2025","Mon Jul 07 11:59:22 GMT 2025","0","tests.pytest_doc.how_to","test_how_to_use_fixtures","","","","Test fixtures scope",""
"broken","Mon Jul 07 11:59:22 GMT 2025","Mon Jul 07 11:59:22 GMT 2025","0","tests","Tag","","","","Create a tag under repo",""
"passed","Mon Jul 07 11:59:22 GMT 2025","Mon Jul 07 11:59:22 GMT 2025","0","tests.pytest_doc.how_to","test_how_to_invoke_pytest","","","","Test Run tests in a directory",""
"passed","Mon Jul 07 11:59:22 GMT 2025","Mon Jul 07 11:59:22 GMT 2025","0","tests.allure_doc","test_organize_tests","","","","Test Behavior-based hierarchy",""
"passed","Mon Jul 07 11:59:22 GMT 2025","Mon Jul 07 11:59:22 GMT 2025","0","Tests for parent_suite","Tests for suite","Tests for sub_suite","","","Test Suite-based hierarchy",""
"passed","Mon Jul 07 11:59:22 GMT 2025","Mon Jul 07 11:59:22 GMT 2025","0","tests.pytest_doc.how_to","test_how_to_use_fixtures","","","","Test Using markers to pass data to fixtures",""
"passed","Mon Jul 07 11:59:22 GMT 2025","Mon Jul 07 11:59:22 GMT 2025","0","tests.allure_doc","test_configuration","","","","Test Options affecting results collection",""
"passed","Mon Jul 07 11:59:22 GMT 2025","Mon Jul 07 11:59:22 GMT 2025","0","tests.pytest_doc.how_to","test_how_to_invoke_pytest","","","","Test Run tests in a module",""
"passed","Mon Jul 07 11:59:22 GMT 2025","Mon Jul 07 11:59:22 GMT 2025","0","tests.allure_doc","test_organize_tests","","","","Test Packages-based hierarchy",""
"passed","Mon Jul 07 11:59:22 GMT 2025","Mon Jul 07 11:59:22 GMT 2025","0","tests.pytest_doc.how_to","test_status","","","","test_failed",""
"broken","Mon Jul 07 11:59:22 GMT 2025","Mon Jul 07 11:59:22 GMT 2025","0","tests","Users","","","","Query for non-existing personal repository",""
